"timestamp","telemetry_uid","session_id","session","event_name","hostsubdomain","source","srclevel","level"
2023-09-07T13:09:46.573Z,-100b40e09da70c0-7954f030-5d3bf4e0,-6be355e06dfba8606cd67f807ff6f960,1,Login,feb201,null,null,0
2023-09-07T13:09:50.358Z,-100b40e09da70c0-7954f030-5d3bf4e0,-6be355e06dfba8606cd67f807ff6f960,1,menu:Apps,feb201,Login,0,1
2023-09-07T13:09:59.032Z,-100b40e09da70c0-7954f030-5d3bf4e0,-6be355e06dfba8606cd67f807ff6f960,1,menu:Apps,feb201,Login,0,1
2023-08-18T05:25:50.053Z,-1970a57077a63d70236b3c6026ad5bd0,-47f58c60-ebc58a0-2575d510-751fb0d0,1,Login,feb201,null,null,0
2023-08-18T05:25:58.817Z,-1970a57077a63d70236b3c6026ad5bd0,-47f58c60-ebc58a0-2575d510-751fb0d0,1,menu:AI-Powered Auto-fill Fields,feb201,menu:Recent Projects,1,2
2023-09-05T00:37:07.642Z,-1dcb39c0-65719f00-d5dde50-44e8a9a0,-13a55b80-5b8b66902efa15e0-64938e10,1,Login,vhkdhx1992,null,null,0
2023-09-05T00:37:34.923Z,-1dcb39c0-65719f00-d5dde50-44e8a9a0,-13a55b80-5b8b66902efa15e0-64938e10,1,board_list_view_tabs_header: Themes,vhkdhx1992,Login,0,3
2023-09-05T00:37:36.271Z,-1dcb39c0-65719f00-d5dde50-44e8a9a0,-13a55b80-5b8b66902efa15e0-64938e10,1,board_list_view_tabs_header: Epics,vhkdhx1992,board_list_view_tabs_header: Themes,3,3
2023-09-05T00:37:43.254Z,-1dcb39c0-65719f00-d5dde50-44e8a9a0,-13a55b80-5b8b66902efa15e0-64938e10,1,board_list_view_tabs_header: User Stories,vhkdhx1992,board_list_view_tabs_header: Epics,3,3
2023-09-05T00:37:54.604Z,-1dcb39c0-65719f00-d5dde50-44e8a9a0,-13a55b80-5b8b66902efa15e0-64938e10,1,Filter,vhkdhx1992,board_list_view_tabs_header: User Stories,3,3
2023-09-05T00:37:54.614Z,-1dcb39c0-65719f00-d5dde50-44e8a9a0,-13a55b80-5b8b66902efa15e0-64938e10,1,ExecutionBoard: Filter,vhkdhx1992,Filter,3,3
2023-09-05T00:37:54.624Z,-1dcb39c0-65719f00-d5dde50-44e8a9a0,-13a55b80-5b8b66902efa15e0-64938e10,1,icon-filter-filled,vhkdhx1992,ExecutionBoard: Filter,3,3
2023-09-05T00:37:59.245Z,-1dcb39c0-65719f00-d5dde50-44e8a9a0,-13a55b80-5b8b66902efa15e0-64938e10,1,changeTab Blocking Reason,vhkdhx1992,icon-filter-filled,3,3
